Latitude,Longitude,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinst,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_bitmask,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_ContinuousLayer,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_ContinuousLayer_Description
46.7551,-117.1261,2018-08-05 23:41:09 UTC,00469,006,0601,True,14.7250977,79.5558395,0b00000000000000000000000001001111,0b0,Continuous
46.7551,-117.1261,2018-08-06 22:49:34 UTC,00484,007,0601,True,40.7109947,80.9814453,0b00000000000000000000000001010000,0b0,Continuous
46.7551,-117.1261,2018-08-08 02:48:19 UTC,00502,004,0601,True,19.7481403,47.7044296,0b00000000000000000000000000101111,0b0,Continuous
46.7551,-117.1261,2018-08-09 21:50:18 UTC,00530,007,0601,True,22.3579979,89.6493988,0b00000000000000000000000001011001,0b0,Continuous
46.7551,-117.1261,2018-08-11 01:49:04 UTC,00548,004,0601,True,8.4454088,64.7006378,0b00000000000000000000000001000000,0b0,Continuous
46.7551,-117.1261,2018-08-12 20:50:49 UTC,00576,006,0601,True,38.4024353,110.6943054,0b00000000000000000000000001101110,0b0,Continuous
46.7551,-117.1261,2018-08-13 19:59:13 UTC,00591,005,0601,True,66.853653,39.4644966,0b00000000000000000000000000100111,0b0,Continuous
46.7551,-117.1261,2018-08-14 23:57:04 UTC,00609,003,0601,True,21.9462414,33.3780136,0b00000000000000000000000000100001,0b0,Continuous
46.7551,-117.1261,2018-08-20 21:58:47 UTC,00701,004,0601,True,49.0688133,12.9321594,0b00000000000000000000000000001100,0b0,Continuous
46.7551,-117.1261,2018-08-21 21:06:20 UTC,00716,003,0601,True,35.9724922,31.9654408,0b00000000000000000000000000011111,0b0,Continuous
46.7551,-117.1261,2018-08-22 17:00:34 UTC,00729,006,0601,True,114.8304672,47.8609352,0b00000000000000000000000000101111,0b0,Continuous
46.7551,-117.1261,2018-08-29 14:10:07 UTC,00836,007,0601,True,70.1944275,48.7596169,0b00000000000000000000000000110000,0b0,Continuous
46.7551,-117.1261,2018-08-31 17:16:22 UTC,00869,004,0601,True,230.0059967,94.4488678,0b00000000000000000000000001011110,0b0,Continuous
46.7551,-117.1261,2018-09-03 16:16:53 UTC,00915,004,0601,True,204.7631073,98.0575027,0b00000000000000000000000001100010,0b0,Continuous
46.7551,-117.1261,2018-09-06 15:16:33 UTC,00961,003,0601,True,114.975502,55.7841301,0b00000000000000000000000000110111,0b0,Continuous
46.7551,-117.1261,2018-09-07 14:24:57 UTC,00976,003,0601,True,68.6850815,43.718998,0b00000000000000000000000000101011,0b0,Continuous
46.7551,-117.1261,2019-06-01 00:14:48 UTC,05117,003,0601,True,30.4423523,100.6404266,0b00000000000000000000000001100100,0b0,Continuous
46.7551,-117.1261,2019-06-03 23:23:14 UTC,05163,005,0601,True,38.0793648,167.4178162,0b00000000000000000000000010100111,0b0,Continuous
46.7551,-117.1261,2019-06-04 22:33:28 UTC,05178,003,0601,True,40.2706108,164.5983124,0b00000000000000000000000010100100,0b0,Continuous
46.7551,-117.1261,2019-06-09 01:42:54 UTC,05242,001,0601,True,89.8372269,64.7454681,0b00000000000000000000000001000000,0b0,Continuous
46.7551,-117.1261,2019-06-14 19:08:13 UTC,05331,004,0601,True,73.6016922,206.4855194,0b00000000000000000000000011001110,0b0,Continuous
46.7551,-117.1261,2019-06-15 18:18:48 UTC,05346,003,0601,True,136.5514526,176.9116516,0b00000000000000000000000010110000,0b0,Continuous
46.7551,-117.1261,2019-06-18 17:26:47 UTC,05392,004,0601,True,206.3601837,175.8579407,0b00000000000000000000000010101111,0b0,Continuous
46.7551,-117.1261,2019-06-19 16:37:25 UTC,05407,003,0601,True,208.0554504,193.237915,0b00000000000000000000000011000001,0b0,Continuous
46.7551,-117.1261,2019-06-26 14:04:30 UTC,05514,003,0601,True,118.7407074,72.1867218,0b00000000000000000000000001001000,0b0,Continuous
46.7551,-117.1261,2019-06-30 12:22:46 UTC,05575,003,0601,True,77.6117554,21.0878887,0b00000000000000000000000000010101,0b0,Continuous
46.7551,-117.1261,2019-07-25 03:06:43 UTC,05957,005,0601,True,30.2859192,18.731596,0b00000000000000000000000000010010,0b0,Continuous
46.7551,-117.1261,2019-07-26 02:17:14 UTC,05972,003,0601,True,39.7258682,32.2999916,0b00000000000000000000000000100000,0b0,Continuous
46.7551,-117.1261,2019-07-29 01:26:24 UTC,06018,005,0601,True,41.582653,7.3360925,0b00000000000000000000000000000111,0b0,Continuous
46.7551,-117.1261,2019-07-30 00:36:32 UTC,06033,003,0601,True,52.9745026,10.3569775,0b00000000000000000000000000001010,0b0,Continuous
46.7551,-117.1261,2019-08-01 23:45:25 UTC,06079,005,0601,True,50.783062,46.7979927,0b00000000000000000000000000101110,0b0,Continuous
46.7551,-117.1261,2019-08-04 22:53:40 UTC,06125,002,0600,True,58.3725395,100.7792511,0b00000000000000000000000001100100,0b0,Continuous
46.7551,-117.1261,2019-08-05 22:04:43 UTC,06140,003,0601,True,51.3921776,28.0479965,0b00000000000000000000000000011100,0b0,Continuous
46.7551,-117.1261,2019-08-16 17:52:48 UTC,06308,003,0601,True,214.0900116,76.5826645,0b00000000000000000000000001001100,0b0,Continuous
46.7551,-117.1261,2019-08-19 17:03:07 UTC,06354,004,0601,True,163.3881531,42.6536713,0b00000000000000000000000000101010,0b0,Continuous
46.7551,-117.1261,2019-08-20 16:14:44 UTC,06369,003,0601,True,146.7976379,55.3410072,0b00000000000000000000000000110111,0b0,Continuous
46.7551,-117.1261,2019-08-23 15:24:34 UTC,06415,004,0600,True,170.7303925,33.5487785,0b00000000000000000000000000100001,0b0,Continuous
46.7551,-117.1261,2019-09-02 15:21:53 UTC,06570,001,0601,True,134.9577026,64.6214905,0b00000000000000000000000001000000,0b0,Continuous
46.7551,-117.1261,2019-10-14 19:01:53 UTC,07224,002,0601,True,189.300827,77.8671417,0b00000000000000000000000001001101,0b0,Continuous
46.7551,-117.1261,2020-02-22 15:05:45 UTC,09253,007,0601,True,20.9373989,42.3988342,0b00000000000000000000000000101010,0b0,Continuous
46.7551,-117.1261,2020-04-09 20:26:57 UTC,09985,002,0601,True,237.5931396,100.6324387,0b00000000000000000000000001100100,0b0,Continuous
46.7551,-117.1261,2020-04-17 17:23:24 UTC,10107,005,0601,True,147.8918915,59.7306671,0b00000000000000000000000000111011,0b0,Continuous
46.7551,-117.1261,2020-04-21 15:50:13 UTC,10168,005,0601,True,100.616127,48.7618103,0b00000000000000000000000000110000,0b0,Continuous
46.7551,-117.1261,2020-05-31 23:19:32 UTC,10793,003,0601,True,94.5948868,37.3625755,0b00000000000000000000000000100101,0b0,Continuous
46.7551,-117.1261,2020-06-04 21:44:48 UTC,10854,003,0601,True,167.0131989,174.3282318,0b00000000000000000000000010101110,0b0,Continuous
46.7551,-117.1261,2020-06-23 14:39:39 UTC,11144,003,0601,True,193.2892456,70.2625351,0b00000000000000000000000001000110,0b0,Continuous
46.7551,-117.1261,2020-06-27 13:04:58 UTC,11205,003,0601,True,111.9475174,52.6618919,0b00000000000000000000000000110100,0b0,Continuous
46.7551,-117.1261,2020-07-28 01:15:43 UTC,11678,002,0601,True,29.7198486,59.9868469,0b00000000000000000000000000111011,0b0,Continuous
46.7551,-117.1261,2020-07-29 00:28:22 UTC,11693,004,0601,True,36.2183914,66.2365265,0b00000000000000000000000001000010,0b0,Continuous
46.7551,-117.1261,2020-07-31 23:41:43 UTC,11739,005,0601,True,24.0448551,77.5447159,0b00000000000000000000000001001101,0b0,Continuous
46.7551,-117.1261,2020-08-04 22:08:19 UTC,11800,002,0601,True,46.9425774,44.16222,0b00000000000000000000000000101100,0b0,Continuous
